Dist Code,Year,State Code,State Name,Dist Name,Crop,Area_ha,Yield_kg_per_ha,N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Total_N_kg,Total_P_kg,Total_K_kg,Temperature_C,Humidity_%,pH,Rainfall_mm,Wind_Speed_m_s,Solar_Radiation_MJ_m2_day
1,1976,14,Chhattisgarh,Durg,maize,3000,666.67,18.00009,8.00004,11.33339,54000.27,24000.12,34000.17,22,70,6,800,2.5,20
1,1976,14,Chhattisgarh,Durg,chickpea,52500,255.24,4.59432,2.5524,4.59432,241201.8,134001,241201.8,20,60,6.5,600,1.5,16
1,1977,14,Chhattisgarh,Durg,rice,600700,952.89,23.82225,11.43468,20.96358,14310025.58,6868812.276,12592822.51,25,80,6.5,1200,2,18
1,1977,14,Chhattisgarh,Durg,maize,3400,823.53,22.23531,9.88236,14.00001,75600.054,33600.024,47600.034,22,70,6,800,2.5,20
1,1977,14,Chhattisgarh,Durg,chickpea,56300,314.39,5.65902,3.1439,5.65902,318602.826,177001.57,318602.826,20,60,6.5,600,1.5,16
1,1978,14,Chhattisgarh,Durg,rice,612500,591.35,14.78375,7.0962,13.0097,9055046.875,4346422.5,7968441.25,25,80,6.5,1200,2,18
1,1978,14,Chhattisgarh,Durg,maize,3400,852.94,23.02938,10.23528,14.49998,78299.892,34799.952,49299.932,22,70,6,800,2.5,20
1,1978,14,Chhattisgarh,Durg,chickpea,52100,326.3,5.8734,3.263,5.8734,306004.14,170002.3,306004.14,20,60,6.5,600,1.5,16
1,1979,14,Chhattisgarh,Durg,rice,616800,535.99,13.39975,6.43188,11.79178,8264965.8,3967183.584,7273169.904,25,80,6.5,1200,2,18
1,1979,14,Chhattisgarh,Durg,maize,3000,1200,32.4,14.4,20.4,97200,43200,61200,22,70,6,800,2.5,20
1,1979,14,Chhattisgarh,Durg,chickpea,65300,240.43,4.32774,2.4043,4.32774,282601.422,157000.79,282601.422,20,60,6.5,600,1.5,16
1,1980,14,Chhattisgarh,Durg,rice,634900,812.1,20.3025,9.7452,17.8662,12890057.25,6187227.48,11343250.38,25,80,6.5,1200,2,18
1,1980,14,Chhattisgarh,Durg,maize,3000,933.33,25.19991,11.19996,15.86661,75599.73,33599.88,47599.83,22,70,6,800,2.5,20
1,1980,14,Chhattisgarh,Durg,chickpea,54200,332.1,5.9778,3.321,5.9778,323996.76,179998.2,323996.76,20,60,6.5,600,1.5,16
1,1981,14,Chhattisgarh,Durg,rice,630000,804.6,20.115,9.6552,17.7012,12672450,6082776,11151756,25,80,6.5,1200,2,18
1,1981,14,Chhattisgarh,Durg,maize,3000,1000,27,12,17,81000,36000,51000,22,70,6,800,2.5,20
1,1981,14,Chhattisgarh,Durg,chickpea,60900,379.31,6.82758,3.7931,6.82758,415799.622,230999.79,415799.622,20,60,6.5,600,1.5,16
1,1982,14,Chhattisgarh,Durg,rice,627900,817.49,20.43725,9.80988,17.98478,12832549.28,6159623.652,11292643.36,25,80,6.5,1200,2,18
1,1982,14,Chhattisgarh,Durg,maize,3000,1033.33,27.89991,12.39996,17.56661,83699.73,37199.88,52699.83,22,70,6,800,2.5,20
1,1982,14,Chhattisgarh,Durg,chickpea,71700,389.12,7.00416,3.8912,7.00416,502198.272,278999.04,502198.272,20,60,6.5,600,1.5,16
1,1983,14,Chhattisgarh,Durg,rice,626700,1134.51,28.36275,13.61412,24.95922,17774935.43,8531969.004,15641943.17,25,80,6.5,1200,2,18
1,1983,14,Chhattisgarh,Durg,maize,3000,1233.33,33.29991,14.79996,20.96661,99899.73,44399.88,62899.83,22,70,6,800,2.5,20
1,1983,14,Chhattisgarh,Durg,chickpea,67700,364.84,6.56712,3.6484,6.56712,444594.024,246996.68,444594.024,20,60,6.5,600,1.5,16
1,1984,14,Chhattisgarh,Durg,rice,632200,891.81,22.29525,10.70172,19.61982,14095057.05,6765627.384,12403650.2,25,80,6.5,1200,2,18
1,1984,14,Chhattisgarh,Durg,maize,3600,1138.89,30.75003,13.66668,19.36113,110700.108,49200.048,69700.068,22,70,6,800,2.5,20
1,1984,14,Chhattisgarh,Durg,chickpea,82800,483.09,8.69562,4.8309,8.69562,719997.336,399998.52,719997.336,20,60,6.5,600,1.5,16
1,1985,14,Chhattisgarh,Durg,rice,630800,1109.38,27.7345,13.31256,24.40636,17494922.6,8397562.848,15395531.89,25,80,6.5,1200,2,18
1,1985,14,Chhattisgarh,Durg,maize,3800,789.47,21.31569,9.47364,13.42099,80999.622,35999.832,50999.762,22,70,6,800,2.5,20
1,1985,14,Chhattisgarh,Durg,chickpea,87900,433.45,7.8021,4.3345,7.8021,685804.59,381002.55,685804.59,20,60,6.5,600,1.5,16
1,1986,14,Chhattisgarh,Durg,rice,643000,816.49,20.41225,9.79788,17.96278,13125076.75,6300036.84,11550067.54,25,80,6.5,1200,2,18
1,1986,14,Chhattisgarh,Durg,maize,4000,750,20.25,9,12.75,81000,36000,51000,22,70,6,800,2.5,20
1,1986,14,Chhattisgarh,Durg,chickpea,98000,561.22,10.10196,5.6122,10.10196,989992.08,549995.6,989992.08,20,60,6.5,600,1.5,16
1,1987,14,Chhattisgarh,Durg,rice,648000,807.1,20.1775,9.6852,17.7562,13075020,6276009.6,11506017.6,25,80,6.5,1200,2,18
1,1987,14,Chhattisgarh,Durg,maize,4000,750,20.25,9,12.75,81000,36000,51000,22,70,6,800,2.5,20
1,1987,14,Chhattisgarh,Durg,chickpea,113500,459.03,8.26254,4.5903,8.26254,937798.29,520999.05,937798.29,20,60,6.5,600,1.5,16
1,1988,14,Chhattisgarh,Durg,rice,652700,842.19,21.05475,10.10628,18.52818,13742435.33,6596368.956,12093343.09,25,80,6.5,1200,2,18
1,1988,14,Chhattisgarh,Durg,maize,3800,1052.63,28.42101,12.63156,17.89471,107999.838,47999.928,67999.898,22,70,6,800,2.5,20
1,1988,14,Chhattisgarh,Durg,chickpea,118400,481.42,8.66556,4.8142,8.66556,1026002.304,570001.28,1026002.304,20,60,6.5,600,1.5,16
1,1989,14,Chhattisgarh,Durg,rice,660200,692.67,17.31675,8.31204,15.23874,11432518.35,5487608.808,10060616.15,25,80,6.5,1200,2,18
1,1989,14,Chhattisgarh,Durg,maize,3700,1297.3,35.0271,15.5676,22.0541,129600.27,57600.12,81600.17,22,70,6,800,2.5,20
1,1989,14,Chhattisgarh,Durg,chickpea,119600,505.85,9.1053,5.0585,9.1053,1088993.88,604996.6,1088993.88,20,60,6.5,600,1.5,16
1,1990,14,Chhattisgarh,Durg,rice,682900,1181.43,29.53575,14.17716,25.99146,20169963.68,9681582.564,17749568.03,25,80,6.5,1200,2,18
1,1990,14,Chhattisgarh,Durg,maize,4000,950,25.65,11.4,16.15,102600,45600,64600,22,70,6,800,2.5,20
1,1990,14,Chhattisgarh,Durg,chickpea,126200,511.89,9.21402,5.1189,9.21402,1162809.324,646005.18,1162809.324,20,60,6.5,600,1.5,16
1,1991,14,Chhattisgarh,Durg,rice,680800,1136.31,28.40775,13.63572,24.99882,19339996.2,9283198.176,17019196.66,25,80,6.5,1200,2,18
1,1991,14,Chhattisgarh,Durg,maize,3800,921.05,24.86835,11.0526,15.65785,94499.73,41999.88,59499.83,22,70,6,800,2.5,20
1,1991,14,Chhattisgarh,Durg,chickpea,117200,645.9,11.6262,6.459,11.6262,1362590.64,756994.8,1362590.64,20,60,6.5,600,1.5,16
1,1992,14,Chhattisgarh,Durg,rice,688000,1129.8,28.245,13.5576,24.8556,19432560,9327628.8,17100652.8,25,80,6.5,1200,2,18
1,1992,14,Chhattisgarh,Durg,maize,4400,1363.64,36.81828,16.36368,23.18188,162000.432,72000.192,102000.272,22,70,6,800,2.5,20
1,1992,14,Chhattisgarh,Durg,chickpea,112600,563.06,10.13508,5.6306,10.13508,1141210.008,634005.56,1141210.008,20,60,6.5,600,1.5,16
1,1993,14,Chhattisgarh,Durg,rice,703600,1246.02,31.1505,14.95224,27.41244,21917491.8,10520396.06,19287392.78,25,80,6.5,1200,2,18
1,1993,14,Chhattisgarh,Durg,maize,3800,1105.26,29.84202,13.26312,18.78942,113399.676,50399.856,71399.796,22,70,6,800,2.5,20
1,1993,14,Chhattisgarh,Durg,chickpea,110600,628.39,11.31102,6.2839,11.31102,1250998.812,694999.34,1250998.812,20,60,6.5,600,1.5,16
1,1994,14,Chhattisgarh,Durg,rice,726800,1331.73,33.29325,15.98076,29.29806,24197534.1,11614816.37,21293830.01,25,80,6.5,1200,2,18
1,1994,14,Chhattisgarh,Durg,maize,4800,895.83,24.18741,10.74996,15.22911,116099.568,51599.808,73099.728,22,70,6,800,2.5,20
1,1994,14,Chhattisgarh,Durg,chickpea,124700,653.57,11.76426,6.5357,11.76426,1467003.222,815001.79,1467003.222,20,60,6.5,600,1.5,16
1,1995,14,Chhattisgarh,Durg,rice,723300,1454.44,36.361,17.45328,31.99768,26299911.3,12623957.42,23143921.94,25,80,6.5,1200,2,18
1,1995,14,Chhattisgarh,Durg,maize,4200,1333.33,35.99991,15.99996,22.66661,151199.622,67199.832,95199.762,22,70,6,800,2.5,20
1,1995,14,Chhattisgarh,Durg,chickpea,124000,494.35,8.8983,4.9435,8.8983,1103389.2,612994,1103389.2,20,60,6.5,600,1.5,16
1,1996,14,Chhattisgarh,Durg,rice,710900,1290.2,32.255,15.4824,28.3844,22930079.5,11006438.16,20178469.96,25,80,6.5,1200,2,18
1,1996,14,Chhattisgarh,Durg,maize,3200,1281.25,34.59375,15.375,21.78125,110700,49200,69700,22,70,6,800,2.5,20
1,1996,14,Chhattisgarh,Durg,chickpea,117700,663.55,11.9439,6.6355,11.9439,1405797.03,780998.35,1405797.03,20,60,6.5,600,1.5,16
1,1997,14,Chhattisgarh,Durg,rice,735700,1138.37,28.45925,13.66044,25.04414,20937470.22,10049985.71,18424973.8,25,80,6.5,1200,2,18
1,1997,14,Chhattisgarh,Durg,maize,3500,914.29,24.68583,10.97148,15.54293,86400.405,38400.18,54400.255,22,70,6,800,2.5,20
1,1997,14,Chhattisgarh,Durg,chickpea,111000,439.64,7.91352,4.3964,7.91352,878400.72,488000.4,878400.72,20,60,6.5,600,1.5,16
1,1998,14,Chhattisgarh,Durg,rice,786510,870.45,21.76125,10.4454,19.1499,17115440.74,8215411.554,15061587.85,25,80,6.5,1200,2,18
1,1998,14,Chhattisgarh,Durg,maize,5610,1012.65,27.34155,12.1518,17.21505,153386.0955,68171.598,96576.4305,22,70,6,800,2.5,20
1,1998,14,Chhattisgarh,Durg,chickpea,144250,591.05,10.6389,5.9105,10.6389,1534661.325,852589.625,1534661.325,20,60,6.5,600,1.5,16
1,1999,14,Chhattisgarh,Durg,rice,769790,1251.04,31.276,15.01248,27.52288,24075952.04,11556456.98,21186837.8,25,80,6.5,1200,2,18
1,1999,14,Chhattisgarh,Durg,maize,3810,1307.44,35.30088,15.68928,22.22648,134496.3528,59776.1568,84682.8888,22,70,6,800,2.5,20
1,1999,14,Chhattisgarh,Durg,chickpea,118670,669.94,12.05892,6.6994,12.05892,1431032.036,795017.798,1431032.036,20,60,6.5,600,1.5,16
1,2000,14,Chhattisgarh,Durg,rice,748760,624.89,15.62225,7.49868,13.74758,11697315.91,5614711.637,10293638,25,80,6.5,1200,2,18
1,2000,14,Chhattisgarh,Durg,maize,3940,792.52,21.39804,9.51024,13.47284,84308.2776,37470.3456,53082.9896,22,70,6,800,2.5,20
1,2000,14,Chhattisgarh,Durg,chickpea,98520,506.84,9.12312,5.0684,9.12312,898809.7824,499338.768,898809.7824,20,60,6.5,600,1.5,16
1,2001,14,Chhattisgarh,Durg,rice,756260,1294.13,32.35325,15.52956,28.47086,24467468.85,11744385.05,21531372.58,25,80,6.5,1200,2,18
1,2001,14,Chhattisgarh,Durg,maize,3900,672.21,18.14967,8.06652,11.42757,70783.713,31459.428,44567.523,22,70,6,800,2.5,20
1,2001,14,Chhattisgarh,Durg,chickpea,117530,735.92,13.24656,7.3592,13.24656,1556868.197,864926.776,1556868.197,20,60,6.5,600,1.5,16
1,2002,14,Chhattisgarh,Durg,rice,753410,643.6,16.09,7.7232,14.1592,12122366.9,5818736.112,10667682.87,25,80,6.5,1200,2,18
1,2002,14,Chhattisgarh,Durg,maize,3710,1284.3,34.6761,15.4116,21.8331,128648.331,57177.036,81000.801,22,70,6,800,2.5,20
1,2002,14,Chhattisgarh,Durg,chickpea,122650,637.98,11.48364,6.3798,11.48364,1408468.446,782482.47,1408468.446,20,60,6.5,600,1.5,16
1,2002,14,Chhattisgarh,Durg,cotton,20,500,13.5,6,13.5,270,120,270,28,65,6,700,3,22
1,2003,14,Chhattisgarh,Durg,rice,766580,1494.73,37.36825,17.93676,32.88406,28645753.09,13749961.48,25208262.71,25,80,6.5,1200,2,18
1,2003,14,Chhattisgarh,Durg,maize,3400,983.49,26.55423,11.80188,16.71933,90284.382,40126.392,56845.722,22,70,6,800,2.5,20
1,2003,14,Chhattisgarh,Durg,chickpea,138930,981.46,17.66628,9.8146,17.66628,2454376.28,1363542.378,2454376.28,20,60,6.5,600,1.5,16
1,2003,14,Chhattisgarh,Durg,cotton,70,714.29,19.28583,8.57148,19.28583,1350.0081,600.0036,1350.0081,28,65,6,700,3,22
1,2004,14,Chhattisgarh,Durg,rice,775990,1268.46,31.7115,15.22152,27.90612,24607806.89,11811747.3,21654870.06,25,80,6.5,1200,2,18
1,2004,14,Chhattisgarh,Durg,maize,3260,1186.04,32.02308,14.23248,20.16268,104395.2408,46397.8848,65730.3368,22,70,6,800,2.5,20
1,2004,14,Chhattisgarh,Durg,chickpea,163220,501.01,9.01818,5.0101,9.01818,1471947.34,817748.522,1471947.34,20,60,6.5,600,1.5,16
1,2004,14,Chhattisgarh,Durg,cotton,410,512.2,13.8294,6.1464,13.8294,5670.054,2520.024,5670.054,28,65,6,700,3,22
1,2005,14,Chhattisgarh,Durg,rice,775990,1268.46,31.7115,15.22152,27.90612,24607806.89,11811747.3,21654870.06,25,80,6.5,1200,2,18
1,2005,14,Chhattisgarh,Durg,maize,3260,1186.04,32.02308,14.23248,20.16268,104395.2408,46397.8848,65730.3368,22,70,6,800,2.5,20
1,2005,14,Chhattisgarh,Durg,chickpea,163220,501.01,9.01818,5.0101,9.01818,1471947.34,817748.522,1471947.34,20,60,6.5,600,1.5,16
1,2006,14,Chhattisgarh,Durg,rice,781700,1505.81,37.64525,18.06972,33.12782,29427291.92,14125100.12,25896016.89,25,80,6.5,1200,2,18
1,2006,14,Chhattisgarh,Durg,maize,5280,953.14,25.73478,11.43768,16.20338,135879.6384,60390.9504,85553.8464,22,70,6,800,2.5,20
1,2006,14,Chhattisgarh,Durg,chickpea,170600,723.74,13.02732,7.2374,13.02732,2222460.792,1234700.44,2222460.792,20,60,6.5,600,1.5,16
1,2006,14,Chhattisgarh,Durg,cotton,190,263.16,7.10532,3.15792,7.10532,1350.0108,600.0048,1350.0108,28,65,6,700,3,22
1,2007,14,Chhattisgarh,Durg,rice,799890,1369.98,34.2495,16.43976,30.13956,27395832.56,13149999.63,24108332.65,25,80,6.5,1200,2,18
1,2007,14,Chhattisgarh,Durg,maize,3300,1157.23,31.24521,13.88676,19.67291,103109.193,45826.308,64920.603,22,70,6,800,2.5,20
1,2007,14,Chhattisgarh,Durg,chickpea,143200,909.8,16.3764,9.098,16.3764,2345100.48,1302833.6,2345100.48,20,60,6.5,600,1.5,16
1,2007,14,Chhattisgarh,Durg,cotton,40,250,6.75,3,6.75,270,120,270,28,65,6,700,3,22
1,2008,14,Chhattisgarh,Durg,rice,803370,876.42,21.9105,10.51704,19.28124,17602238.38,8449074.425,15489969.78,25,80,6.5,1200,2,18
1,2008,14,Chhattisgarh,Durg,maize,3400,984.92,26.59284,11.81904,16.74364,90415.656,40184.736,56928.376,22,70,6,800,2.5,20
1,2008,14,Chhattisgarh,Durg,chickpea,131940,856.71,15.42078,8.5671,15.42078,2034617.713,1130343.174,2034617.713,20,60,6.5,600,1.5,16
1,2008,14,Chhattisgarh,Durg,cotton,10,1000,27,12,27,270,120,270,28,65,6,700,3,22
1,2009,14,Chhattisgarh,Durg,rice,789040,788.37,19.70925,9.46044,17.34414,15551386.62,7464665.578,13685220.23,25,80,6.5,1200,2,18
1,2009,14,Chhattisgarh,Durg,maize,3250,1045.97,28.24119,12.55164,17.78149,91783.8675,40792.83,57789.8425,22,70,6,800,2.5,20
1,2009,14,Chhattisgarh,Durg,chickpea,147220,883.44,15.90192,8.8344,15.90192,2341080.662,1300600.368,2341080.662,20,60,6.5,600,1.5,16
1,2010,14,Chhattisgarh,Durg,rice,777920,1695.77,42.39425,20.34924,37.30694,32979334.96,15830080.78,29021814.76,25,80,6.5,1200,2,18
1,2010,14,Chhattisgarh,Durg,maize,3170,1457.32,39.34764,17.48784,24.77444,124732.0188,55436.4528,78534.9748,22,70,6,800,2.5,20
1,2010,14,Chhattisgarh,Durg,chickpea,184260,948.89,17.08002,9.4889,17.08002,3147164.485,1748424.714,3147164.485,20,60,6.5,600,1.5,16
1,2011,14,Chhattisgarh,Durg,rice,806550,1756.23,43.90575,21.07476,38.63706,35412182.66,16997847.68,31162720.74,25,80,6.5,1200,2,18
1,2011,14,Chhattisgarh,Durg,maize,3630,1285.56,34.71012,15.42672,21.85452,125997.7356,55998.9936,79331.9076,22,70,6,800,2.5,20
1,2011,14,Chhattisgarh,Durg,chickpea,196270,1008.49,18.15282,10.0849,18.15282,3562853.981,1979363.323,3562853.981,20,60,6.5,600,1.5,16
1,2011,14,Chhattisgarh,Durg,cotton,80,250,6.75,3,6.75,540,240,540,28,65,6,700,3,22
1,2012,14,Chhattisgarh,Durg,rice,807070,1900.97,47.52425,22.81164,41.82134,38355396.45,18410590.29,33752748.87,25,80,6.5,1200,2,18
1,2012,14,Chhattisgarh,Durg,maize,3120,1538.56,41.54112,18.46272,26.15552,129608.2944,57603.6864,81605.2224,22,70,6,800,2.5,20
1,2012,14,Chhattisgarh,Durg,chickpea,208600,1130.97,20.35746,11.3097,20.35746,4246566.156,2359203.42,4246566.156,20,60,6.5,600,1.5,16
1,2012,14,Chhattisgarh,Durg,cotton,130,153.85,4.15395,1.8462,4.15395,540.0135,240.006,540.0135,28,65,6,700,3,22
1,2013,14,Chhattisgarh,Durg,rice,819440,1581.86,39.5465,18.98232,34.80092,32405983.96,15554872.3,28517265.88,25,80,6.5,1200,2,18
1,2013,14,Chhattisgarh,Durg,maize,3640,1742.2,47.0394,20.9064,29.6174,171223.416,76099.296,107807.336,22,70,6,800,2.5,20
1,2013,14,Chhattisgarh,Durg,chickpea,229990,756.19,13.61142,7.5619,13.61142,3130490.486,1739161.381,3130490.486,20,60,6.5,600,1.5,16
1,2013,14,Chhattisgarh,Durg,cotton,50,200,5.4,2.4,5.4,270,120,270,28,65,6,700,3,22
1,2014,14,Chhattisgarh,Durg,rice,834870,1729.89,43.24725,20.75868,38.05758,36105831.61,17330799.17,31773131.81,25,80,6.5,1200,2,18
1,2014,14,Chhattisgarh,Durg,maize,4020,1451.66,39.19482,17.41992,24.67822,157563.1764,70028.0784,99206.4444,22,70,6,800,2.5,20
1,2014,14,Chhattisgarh,Durg,chickpea,228750,1056.09,19.00962,10.5609,19.00962,4348450.575,2415805.875,4348450.575,20,60,6.5,600,1.5,16
1,2014,14,Chhattisgarh,Durg,cotton,50,400,10.8,4.8,10.8,540,240,540,28,65,6,700,3,22
1,2015,14,Chhattisgarh,Durg,rice,817680,1076.95,26.92375,12.9234,23.6929,22015011.9,10567205.71,19373210.47,25,80,6.5,1200,2,18
1,2015,14,Chhattisgarh,Durg,maize,9870,1467.17,39.61359,17.60604,24.94189,390986.1333,173771.6148,246176.4543,22,70,6,800,2.5,20
1,2015,14,Chhattisgarh,Durg,chickpea,220270,754.73,13.58514,7.5473,13.58514,2992398.788,1662443.771,2992398.788,20,60,6.5,600,1.5,16
1,2015,14,Chhattisgarh,Durg,cotton,50,200,5.4,2.4,5.4,270,120,270,28,65,6,700,3,22
1,2016,14,Chhattisgarh,Durg,rice,858910,2085.96,52.149,25.03152,45.89112,44791297.59,21499822.84,39416341.88,25,80,6.5,1200,2,18
1,2016,14,Chhattisgarh,Durg,maize,7950,2028.48,54.76896,24.34176,34.48416,435413.232,193516.992,274149.072,22,70,6,800,2.5,20
1,2016,14,Chhattisgarh,Durg,chickpea,227240,1161.83,20.91294,11.6183,20.91294,4752256.486,2640142.492,4752256.486,20,60,6.5,600,1.5,16
1,2016,14,Chhattisgarh,Durg,cotton,60,317.81,8.58087,3.81372,8.58087,514.8522,228.8232,514.8522,28,65,6,700,3,22
1,2017,14,Chhattisgarh,Durg,rice,841130,1168.92,29.223,14.02704,25.71624,24580341.99,11798564.16,21630700.95,25,80,6.5,1200,2,18
1,2017,14,Chhattisgarh,Durg,maize,9250,1956.03,52.81281,23.47236,33.25251,488518.4925,217119.33,307585.7175,22,70,6,800,2.5,20
1,2017,14,Chhattisgarh,Durg,chickpea,258460,1003.82,18.06876,10.0382,18.06876,4670051.71,2594473.172,4670051.71,20,60,6.5,600,1.5,16
1,2017,14,Chhattisgarh,Durg,cotton,450,297.85,8.04195,3.5742,8.04195,3618.8775,1608.39,3618.8775,28,65,6,700,3,22
2,1966,14,Chhattisgarh,Bastar,rice,406000,642.86,16.0715,7.71432,14.14292,6525029,3132013.92,5742025.52,25,80,6.5,1200,2,18
2,1966,14,Chhattisgarh,Bastar,maize,23000,1347.83,36.39141,16.17396,22.91311,837002.43,372001.08,527001.53,22,70,6,800,2.5,20
2,1966,14,Chhattisgarh,Bastar,chickpea,1900,263.16,4.73688,2.6316,4.73688,9000.072,5000.04,9000.072,20,60,6.5,600,1.5,16
2,1967,14,Chhattisgarh,Bastar,rice,414000,770.53,19.26325,9.24636,16.95166,7974985.5,3827993.04,7017987.24,25,80,6.5,1200,2,18
2,1967,14,Chhattisgarh,Bastar,maize,24000,1416.67,38.25009,17.00004,24.08339,918002.16,408000.96,578001.36,22,70,6,800,2.5,20
2,1967,14,Chhattisgarh,Bastar,chickpea,2000,500,9,5,9,18000,10000,18000,20,60,6.5,600,1.5,16
2,1968,14,Chhattisgarh,Bastar,rice,423200,694.71,17.36775,8.33652,15.28362,7350031.8,3528015.264,6468027.984,25,80,6.5,1200,2,18
2,1968,14,Chhattisgarh,Bastar,maize,24700,971.66,26.23482,11.65992,16.51822,648000.054,288000.024,408000.034,22,70,6,800,2.5,20
2,1968,14,Chhattisgarh,Bastar,chickpea,2500,400,7.2,4,7.2,18000,10000,18000,20,60,6.5,600,1.5,16
2,1969,14,Chhattisgarh,Bastar,rice,429100,766.72,19.168,9.20064,16.86784,8224988.8,3947994.624,7237990.144,25,80,6.5,1200,2,18
2,1969,14,Chhattisgarh,Bastar,maize,25100,996.02,26.89254,11.95224,16.93234,675002.754,300001.224,425001.734,22,70,6,800,2.5,20
2,1969,14,Chhattisgarh,Bastar,chickpea,2400,375,6.75,3.75,6.75,16200,9000,16200,20,60,6.5,600,1.5,16
