crop_type,area_hectares,days_since_sowing,ndvi_trend,avg_temp,cum_rainfall,yield_kg
PULSES,5.52,80,0.783,33.8,150.7,4466.44
RICE,7.55,29,0.771,29.4,202.7,33665.94
MAIZE,5.3,42,0.345,16.8,367.7,11192.34
RICE,3.67,26,0.463,29.8,463.8,11659.08
RICE,1.56,98,0.258,31.7,486.9,2408.16
WHEAT,0.9,103,0.591,32.2,724.2,1901.62
WHEAT,6.84,100,0.612,23.1,515.5,16905.51
WHEAT,8.71,55,0.406,29.7,299.1,23258.22
PULSES,8.71,41,0.807,17.2,704.1,8038.9
WHEAT,2.4,127,0.814,32.4,217.2,7295.72
COTTON,3.62,27,0.181,27.8,349.8,2276.51
SUGARCANE,3.65,24,0.844,18.6,771.9,274458.43
RICE,6.17,54,0.475,27.1,433.6,19517.33
SUGARCANE,2.31,32,0.4,33.5,453.8,112368.76
PULSES,7.5,35,0.664,28.3,297.7,7286.83
RICE,7.34,48,0.783,21.5,572.9,32471.73
WHEAT,4.49,107,0.617,27.3,275.7,11549.5
RICE,3.39,36,0.766,28.1,398.7,14829.73
WHEAT,5.36,53,0.468,28.3,514.4,13163.66
WHEAT,6.89,67,0.435,15.9,788.0,16051.2
RICE,4.83,90,0.794,22.7,349.7,20503.02
PULSES,0.55,23,0.453,31.1,571.9,394.6
SUGARCANE,2.87,72,0.81,28.4,790.9,223099.4
COTTON,6.32,139,0.831,23.9,169.4,10804.97
COTTON,2.96,73,0.467,30.6,413.4,3459.38
COTTON,1.24,83,0.717,32.9,110.4,1174.86
COTTON,7.09,64,0.732,25.9,361.8,11355.54
COTTON,4.2,15,0.584,22.6,54.4,3475.7
COTTON,8.61,117,0.797,31.0,723.4,14189.78
MAIZE,4.64,13,0.784,31.0,593.1,31666.76
WHEAT,9.82,16,0.272,28.3,113.0,8735.91
COTTON,2.23,76,0.692,21.5,620.9,3635.02
COTTON,2.9,30,0.8,16.0,763.9,4187.74
RICE,7.92,93,0.656,19.9,679.4,35270.83
WHEAT,1.7,39,0.694,29.0,625.2,5785.21
SUGARCANE,9.66,68,0.439,21.2,484.0,564161.08
SUGARCANE,6.93,202,0.793,16.5,568.0,486359.8
RICE,7.12,48,0.544,17.4,787.9,21085.16
MAIZE,5.56,94,0.751,21.8,687.2,37878.83
RICE,4.62,56,0.599,29.1,376.6,15129.64
PULSES,3.07,78,0.512,31.5,494.4,2171.12
WHEAT,8.39,32,0.74,30.0,477.4,30029.51
MAIZE,0.77,51,0.692,31.0,305.3,5275.28
PULSES,8.86,81,0.84,16.7,590.1,7885.24
WHEAT,7.06,135,0.653,20.9,353.3,24213.28
PULSES,6.02,70,0.719,34.9,462.8,4990.76
COTTON,3.07,74,0.794,21.3,607.2,5293.89
PULSES,2.26,37,0.466,26.8,620.2,1642.95
RICE,8.41,47,0.686,15.3,450.6,32551.98
RICE,5.76,99,0.285,30.1,126.9,6136.55
MAIZE,4.96,66,0.843,20.0,696.3,31472.68
RICE,4.31,19,0.787,18.0,658.4,19815.72
RICE,9.94,25,0.733,26.9,513.8,44941.77
COTTON,4.78,123,0.768,23.6,476.5,7540.15
PULSES,1.44,36,0.464,16.6,229.9,937.97
WHEAT,0.53,125,0.513,15.7,266.1,1194.59
COTTON,1.18,69,0.328,27.5,545.9,738.7
COTTON,1.59,67,0.618,31.5,103.6,1290.98
MAIZE,6.15,82,0.227,24.4,278.1,14616.1
MAIZE,5.25,73,0.77,32.8,600.9,29757.96
RICE,1.37,96,0.538,34.0,799.7,3790.6
MAIZE,5.97,107,0.513,28.0,737.1,27743.28
SUGARCANE,4.64,261,0.236,23.2,290.8,124782.96
WHEAT,3.63,136,0.839,31.3,462.6,12719.88
MAIZE,2.9,24,0.217,25.3,791.1,7069.73
SUGARCANE,4.89,37,0.722,30.1,519.1,386319.42
WHEAT,3.04,43,0.227,29.0,141.1,2852.72
SUGARCANE,8.09,91,0.653,23.2,218.5,644197.18
RICE,4.88,25,0.437,33.7,268.9,13546.26
COTTON,8.43,130,0.76,22.7,741.4,13920.96
WHEAT,8.71,80,0.605,21.8,640.8,21778.45
RICE,3.19,48,0.539,28.2,698.9,10153.44
COTTON,3.78,149,0.837,32.4,785.6,5162.98
COTTON,2.72,115,0.799,29.1,658.6,4436.87
PULSES,8.03,29,0.657,25.0,492.6,8243.6
COTTON,1.45,126,0.679,32.4,777.5,1947.16
MAIZE,3.72,98,0.666,21.6,555.8,24634.55
MAIZE,6.45,107,0.758,27.3,226.1,43354.99
MAIZE,9.98,105,0.846,30.2,577.9,63236.62
WHEAT,7.09,17,0.809,20.9,331.1,24072.26
SUGARCANE,4.41,359,0.441,16.6,703.1,224924.73
WHEAT,5.23,46,0.778,24.2,550.1,19143.97
COTTON,9.06,149,0.738,21.9,490.7,15156.7
COTTON,7.06,126,0.448,22.7,412.4,8249.36
SUGARCANE,3.91,161,0.186,34.6,543.7,90959.36
SUGARCANE,8.72,35,0.316,31.7,727.2,250892.49
WHEAT,6.27,100,0.688,20.0,616.7,22660.72
PULSES,8.46,90,0.775,15.8,641.5,7186.12
MAIZE,7.46,21,0.195,23.3,200.6,18416.97
MAIZE,5.54,44,0.462,31.5,411.4,27407.01
PULSES,8.77,24,0.665,30.1,219.2,8835.39
PULSES,9.81,81,0.808,15.3,452.4,8701.19
PULSES,7.62,43,0.814,33.8,131.3,4369.09
RICE,6.39,81,0.772,28.0,526.6,28015.53
PULSES,3.37,62,0.659,15.7,796.9,2887.4
WHEAT,8.93,44,0.724,34.0,572.4,26825.95
SUGARCANE,7.55,89,0.557,31.7,511.7,441363.16
MAIZE,0.81,57,0.739,19.7,322.0,5603.1
MAIZE,5.67,92,0.73,18.8,141.6,27107.09
COTTON,1.37,64,0.543,15.4,640.1,1441.66
WHEAT,7.98,62,0.803,19.1,212.0,29128.06
MAIZE,7.86,110,0.101,32.2,158.5,15441.11
MAIZE,8.09,24,0.406,15.3,642.5,34032.9
MAIZE,0.65,43,0.798,25.5,609.2,4279.81
MAIZE,5.38,23,0.694,27.3,595.4,36959.4
PULSES,5.45,68,0.407,35.0,685.5,3310.81
RICE,5.16,66,0.666,27.2,99.3,15535.24
PULSES,6.06,51,0.769,20.9,429.2,5957.52
PULSES,1.59,80,0.452,24.0,221.4,1126.36
COTTON,4.29,34,0.713,20.1,765.2,7210.74
COTTON,1.14,31,0.669,29.8,658.8,1891.6
SUGARCANE,9.59,297,0.674,22.1,549.0,756911.74
PULSES,0.99,46,0.484,26.6,209.6,723.97
WHEAT,8.55,99,0.488,30.3,480.6,22560.45
SUGARCANE,9.76,328,0.554,15.5,746.8,508110.31
MAIZE,0.78,44,0.474,21.8,54.6,2717.73
SUGARCANE,6.74,45,0.777,15.6,609.6,453776.37
COTTON,4.81,50,0.794,30.5,475.7,7607.1
RICE,1.98,106,0.562,20.4,546.5,6326.92
COTTON,4.43,65,0.427,23.6,262.4,5410.88
COTTON,5.51,88,0.729,27.0,55.8,6237.67
WHEAT,7.79,75,0.674,24.9,373.0,26404.0
SUGARCANE,7.18,266,0.784,22.1,347.8,566241.5
COTTON,0.68,29,0.538,26.5,582.1,809.28
RICE,4.35,51,0.84,24.2,567.2,18875.59
COTTON,8.52,72,0.73,16.6,702.9,12963.2
WHEAT,3.66,53,0.777,25.6,195.4,13239.07
MAIZE,7.41,92,0.457,17.9,198.0,32338.99
PULSES,1.22,90,0.801,30.2,386.7,1259.03
SUGARCANE,6.61,329,0.844,21.3,379.8,507388.18
PULSES,3.38,45,0.72,16.5,396.3,2872.33
MAIZE,8.4,19,0.635,16.8,495.6,35868.81
SUGARCANE,5.77,31,0.812,28.0,291.1,443207.22
WHEAT,9.6,125,0.83,21.9,585.7,33807.37
WHEAT,0.87,122,0.252,27.2,322.9,1160.14
COTTON,4.38,96,0.413,27.6,301.0,5166.49
SUGARCANE,6.94,155,0.82,34.3,502.0,438342.15
RICE,6.04,28,0.19,28.1,546.6,9305.42
PULSES,9.41,49,0.779,21.6,145.8,6653.4
PULSES,9.97,77,0.784,25.2,63.7,6777.15
WHEAT,3.75,134,0.85,18.1,271.8,13580.32
SUGARCANE,7.82,279,0.717,30.3,148.3,416301.77
WHEAT,2.22,52,0.41,22.3,589.7,5950.08
SUGARCANE,3.21,239,0.698,34.3,638.3,218581.78
WHEAT,3.99,122,0.706,22.6,445.6,14699.66
WHEAT,8.11,45,0.413,24.6,328.4,21663.26
PULSES,8.54,25,0.803,20.5,729.0,8156.45
COTTON,1.37,66,0.612,33.6,361.2,1382.93
MAIZE,2.74,20,0.656,33.6,679.4,15601.91
WHEAT,1.81,83,0.237,31.6,619.1,2309.64
SUGARCANE,0.55,50,0.693,18.0,755.2,42811.11
COTTON,1.56,83,0.674,19.8,529.2,2605.61
RICE,1.55,73,0.653,25.3,231.5,6576.92
COTTON,0.51,100,0.733,28.3,114.2,617.01
RICE,9.56,79,0.848,26.1,342.8,41938.38
PULSES,4.18,57,0.653,30.8,308.6,4234.6
PULSES,1.48,84,0.48,15.9,459.5,989.11
WHEAT,8.39,128,0.239,18.6,151.1,10971.22
COTTON,0.85,61,0.69,15.8,750.0,1264.19
SUGARCANE,5.0,28,0.446,22.1,635.6,290242.35
MAIZE,3.1,57,0.73,23.8,767.4,20130.67
WHEAT,5.21,137,0.809,20.3,112.0,12740.52
COTTON,6.22,56,0.714,16.6,545.7,9057.97
SUGARCANE,7.32,95,0.484,15.8,702.5,363488.5
COTTON,3.11,24,0.778,22.3,650.8,5223.56
RICE,1.86,87,0.505,17.5,227.0,5434.56
MAIZE,4.14,82,0.681,24.0,328.2,27170.82
RICE,5.95,77,0.713,20.6,770.4,24938.84
WHEAT,5.24,109,0.134,30.5,578.0,6515.76
SUGARCANE,3.21,261,0.677,16.5,179.5,227199.48
RICE,8.2,118,0.294,29.2,462.5,12844.96
MAIZE,8.59,101,0.568,18.5,321.1,40094.99
WHEAT,8.02,70,0.406,26.1,326.7,21154.65
SUGARCANE,1.73,54,0.73,29.3,409.0,132021.7
COTTON,8.32,28,0.713,16.5,399.4,12376.65
WHEAT,8.84,56,0.431,25.1,701.2,23380.35
SUGARCANE,1.95,94,0.837,19.5,760.6,150433.75
MAIZE,8.54,42,0.841,20.5,518.8,57008.96
RICE,5.27,31,0.766,18.4,518.4,24120.16
MAIZE,8.5,82,0.823,16.6,761.4,51858.39
MAIZE,6.69,108,0.774,15.6,716.7,39919.72
PULSES,9.59,71,0.811,23.1,390.2,9673.17
WHEAT,4.68,133,0.718,17.9,696.1,14558.35
MAIZE,9.77,26,0.524,17.1,231.3,40613.2
COTTON,2.86,34,0.839,32.3,363.6,4196.74
WHEAT,8.23,90,0.682,34.9,400.1,25557.6
COTTON,0.72,110,0.843,19.3,314.7,1134.6
COTTON,6.18,130,0.652,17.1,150.5,8961.15
MAIZE,7.76,56,0.66,26.2,321.9,50133.3
COTTON,5.29,150,0.848,28.6,139.1,6400.22
COTTON,4.05,96,0.723,17.9,501.8,5954.94
RICE,0.93,27,0.593,25.4,161.7,3093.0
WHEAT,3.62,91,0.848,29.8,274.4,12533.9
SUGARCANE,5.56,298,0.813,22.4,555.4,448665.39
SUGARCANE,3.42,362,0.543,20.3,541.7,200560.83
SUGARCANE,5.99,36,0.684,27.6,514.8,476965.65
WHEAT,8.31,72,0.84,17.2,64.2,18084.92
WHEAT,4.42,62,0.805,33.4,704.6,13536.53
RICE,7.2,76,0.715,28.2,444.1,31089.97
WHEAT,4.87,97,0.785,32.4,560.6,15013.49
MAIZE,6.3,34,0.181,21.0,756.1,15849.18
MAIZE,7.2,98,0.476,22.0,750.3,35580.92
MAIZE,3.23,83,0.491,34.6,663.8,13777.5
WHEAT,3.26,83,0.123,33.5,542.0,3634.61
WHEAT,2.42,79,0.302,17.7,511.8,2812.05
WHEAT,0.98,67,0.413,23.3,588.0,2408.58
WHEAT,0.55,50,0.837,32.6,408.1,1596.14
MAIZE,3.55,92,0.804,28.0,224.2,23989.24
RICE,9.18,32,0.818,33.7,77.3,24841.25
COTTON,2.27,84,0.402,26.4,130.5,1998.9
MAIZE,4.82,92,0.749,33.8,688.3,26953.73
WHEAT,8.18,94,0.742,20.1,189.6,29474.91
MAIZE,5.89,106,0.772,27.8,354.1,38592.95
MAIZE,1.32,95,0.846,24.5,751.9,8282.35
COTTON,2.74,78,0.188,29.5,58.6,1168.49
PULSES,2.74,25,0.682,28.7,742.3,2817.8
MAIZE,7.06,91,0.186,27.3,214.3,16323.12
WHEAT,4.82,105,0.76,24.4,453.1,17244.81
WHEAT,7.74,30,0.756,22.2,737.9,26188.27
SUGARCANE,9.08,113,0.68,21.6,440.3,672329.04
WHEAT,7.31,135,0.752,31.2,390.1,25765.29
COTTON,5.86,128,0.474,15.4,240.8,6014.27
WHEAT,5.99,21,0.79,25.8,95.2,15341.2
COTTON,0.8,114,0.677,27.8,597.0,1381.22
MAIZE,9.93,58,0.833,22.5,110.2,48005.94
SUGARCANE,1.76,188,0.849,22.9,145.5,99405.37
RICE,7.68,48,0.794,23.5,334.5,32878.48
COTTON,3.79,80,0.825,30.3,74.2,4447.58
SUGARCANE,7.78,18,0.663,26.9,384.8,609365.25
RICE,2.82,15,0.697,19.3,697.8,11857.64
SUGARCANE,9.94,129,0.576,21.4,498.4,566243.82
MAIZE,2.75,28,0.251,23.3,256.4,6637.43
SUGARCANE,8.86,99,0.503,24.9,779.2,518069.75
PULSES,4.12,77,0.733,18.0,332.3,4182.57
COTTON,2.79,67,0.792,31.1,736.1,4632.22
COTTON,5.79,44,0.701,21.6,109.3,6653.87
MAIZE,1.38,102,0.412,22.5,503.7,6319.0
RICE,2.29,107,0.784,19.3,206.7,10486.13
MAIZE,9.59,11,0.688,29.8,610.2,64903.76
WHEAT,7.11,62,0.698,21.4,262.3,24942.73
PULSES,3.91,43,0.827,24.3,652.1,3956.99
MAIZE,9.19,57,0.659,32.3,605.9,49061.73
SUGARCANE,9.38,306,0.471,18.9,222.5,528945.9
WHEAT,5.24,96,0.814,34.3,531.3,15663.34
WHEAT,7.46,100,0.794,24.8,737.7,26369.85
PULSES,9.59,77,0.819,33.9,551.2,8283.31
COTTON,1.81,69,0.68,19.4,392.0,2855.23
PULSES,6.83,88,0.291,15.3,449.2,2193.3
RICE,5.53,45,0.707,25.0,573.4,24163.07
WHEAT,1.52,34,0.698,27.4,239.3,5272.52
COTTON,1.25,113,0.699,28.9,275.0,2130.16
RICE,6.71,119,0.408,23.1,332.9,21420.48
PULSES,0.59,31,0.819,27.9,298.5,611.98
RICE,9.0,15,0.83,28.8,475.1,38693.54
RICE,7.0,45,0.535,15.7,746.6,19786.0
WHEAT,6.08,111,0.187,26.3,475.0,8054.35
PULSES,9.02,52,0.798,30.8,567.0,8553.34
PULSES,9.76,16,0.696,16.5,503.9,8795.18
SUGARCANE,4.27,177,0.705,34.9,418.0,275441.83
COTTON,4.6,107,0.774,31.0,584.8,7272.77
WHEAT,4.11,49,0.476,17.1,53.9,6501.52
MAIZE,7.73,23,0.687,24.0,466.1,50548.86
RICE,1.35,80,0.77,21.5,338.9,5816.36
COTTON,7.9,72,0.684,22.6,154.1,12775.77
COTTON,1.89,52,0.734,24.7,107.7,2128.75
WHEAT,7.35,136,0.689,17.1,278.5,24329.88
MAIZE,8.5,58,0.479,21.7,661.6,42266.79
SUGARCANE,1.79,174,0.567,24.6,183.2,99219.95
MAIZE,3.27,98,0.632,30.6,294.4,15351.16
COTTON,3.97,61,0.759,28.6,462.6,6847.24
COTTON,9.46,63,0.708,28.9,664.2,16070.49
COTTON,6.89,45,0.458,28.2,586.4,8507.01
RICE,4.77,86,0.73,25.1,740.3,21390.36
SUGARCANE,0.85,194,0.595,26.9,735.8,45740.6
WHEAT,6.75,100,0.773,26.3,533.8,24108.66
MAIZE,9.67,65,0.67,19.4,610.1,64192.13
PULSES,5.96,67,0.743,28.6,567.8,5694.33
RICE,5.09,47,0.842,17.3,755.5,19434.15
MAIZE,3.76,110,0.747,24.5,378.6,25304.29
MAIZE,1.14,15,0.428,32.0,536.0,5568.93
WHEAT,9.33,72,0.76,21.6,369.8,32716.98
COTTON,6.48,57,0.504,15.6,510.6,6786.58
SUGARCANE,4.58,12,0.449,30.0,656.5,245260.64
RICE,8.1,78,0.715,24.2,246.8,36932.44
SUGARCANE,9.68,170,0.772,26.7,310.9,771113.51
SUGARCANE,2.14,354,0.471,27.3,113.6,80817.26
RICE,2.77,24,0.789,25.2,363.7,11746.63
COTTON,4.52,134,0.566,27.9,799.9,5453.78
COTTON,3.24,57,0.74,16.1,319.3,4575.44
WHEAT,2.35,108,0.247,24.9,563.5,2982.62
COTTON,5.14,31,0.809,19.4,74.5,5773.35
MAIZE,2.1,68,0.805,24.9,433.1,13960.78
MAIZE,7.86,56,0.801,30.2,381.0,50415.91
COTTON,1.47,73,0.85,24.0,311.4,2502.32
COTTON,8.72,40,0.457,31.2,490.9,10307.7
PULSES,6.3,64,0.678,19.1,205.2,5962.17
MAIZE,5.56,86,0.715,29.1,267.0,35842.24
SUGARCANE,9.86,357,0.433,30.0,358.7,527825.53
MAIZE,8.74,26,0.432,17.9,291.6,36803.65
PULSES,4.23,28,0.704,23.3,389.0,4243.66
RICE,4.33,105,0.837,22.4,762.7,18722.95
RICE,8.75,118,0.575,24.2,548.1,27603.02
RICE,8.06,60,0.736,19.2,251.4,36628.44
MAIZE,5.7,26,0.747,21.9,561.9,35921.12
RICE,6.45,117,0.675,32.2,381.0,22918.48
COTTON,2.42,43,0.472,32.5,707.4,2368.02
MAIZE,2.88,57,0.556,16.0,519.2,12722.77
WHEAT,4.58,33,0.4,24.5,149.5,7982.63
PULSES,4.73,11,0.596,34.8,366.7,2788.28
RICE,2.67,21,0.425,21.3,710.7,8233.96
WHEAT,6.59,46,0.763,27.2,173.1,22851.6
WHEAT,6.47,48,0.279,23.8,212.9,8610.04
WHEAT,7.65,108,0.736,30.8,235.8,27317.43
WHEAT,5.76,82,0.566,32.0,543.8,14453.12
SUGARCANE,6.27,106,0.471,16.1,723.4,330375.98
COTTON,4.17,71,0.769,25.6,783.3,7215.5
MAIZE,1.75,82,0.759,18.5,403.3,12112.91
RICE,0.66,18,0.693,33.5,761.5,2443.22
MAIZE,6.47,74,0.502,23.0,530.4,31172.94
WHEAT,3.14,89,0.834,34.5,166.5,9232.11
SUGARCANE,6.53,342,0.416,29.0,597.5,378349.65
RICE,2.82,65,0.772,16.1,549.6,11343.7
WHEAT,1.63,45,0.439,34.1,442.3,3647.25
PULSES,2.96,57,0.806,20.4,714.8,3009.94
RICE,3.68,64,0.663,29.2,482.5,15507.19
COTTON,5.35,24,0.763,22.4,241.3,8476.96
SUGARCANE,6.9,69,0.752,15.9,697.2,465955.22
COTTON,3.96,48,0.842,15.7,652.3,6006.46
PULSES,4.48,51,0.833,21.4,669.5,4466.93
RICE,5.27,16,0.811,34.6,765.6,18860.16
COTTON,8.73,89,0.761,15.2,200.5,13046.77
MAIZE,7.53,41,0.768,24.9,629.5,48184.31
SUGARCANE,7.72,135,0.836,15.5,456.2,542268.83
PULSES,8.83,52,0.781,32.0,595.4,8395.48
SUGARCANE,9.84,224,0.662,34.9,583.7,617817.78
WHEAT,9.02,115,0.489,34.5,113.7,13183.62
WHEAT,6.55,110,0.764,23.7,773.2,22449.1
MAIZE,8.58,60,0.576,21.4,254.0,39432.39
WHEAT,1.79,37,0.683,24.3,354.9,6323.44
WHEAT,4.79,128,0.674,18.2,564.5,17411.11
PULSES,6.23,37,0.479,16.8,236.2,3978.8
SUGARCANE,0.97,163,0.848,15.6,353.3,66899.69
PULSES,5.73,22,0.811,17.8,59.0,3691.87
WHEAT,1.74,112,0.776,27.9,486.7,5977.08
RICE,0.71,18,0.779,31.2,119.0,2262.74
MAIZE,1.66,69,0.835,23.7,593.3,10951.76
COTTON,6.99,54,0.832,20.5,384.5,11128.25
SUGARCANE,6.38,135,0.52,32.7,409.3,291167.6
COTTON,1.8,61,0.591,20.0,795.6,2169.43
RICE,9.9,110,0.515,30.6,308.0,31887.98
MAIZE,4.19,33,0.769,15.6,658.0,24343.37
COTTON,5.53,69,0.129,28.1,249.9,3422.94
PULSES,1.03,38,0.847,22.8,751.4,1069.82
WHEAT,2.17,91,0.567,33.3,71.2,3371.64
SUGARCANE,5.85,298,0.343,31.2,777.8,164490.0
WHEAT,5.16,33,0.77,15.4,408.5,16071.82
SUGARCANE,2.41,76,0.685,31.0,701.2,177396.68
WHEAT,6.07,46,0.603,32.2,770.4,13041.35
PULSES,4.26,22,0.715,34.5,599.3,3562.16
PULSES,9.63,50,0.844,28.9,746.6,9807.31
WHEAT,6.82,54,0.797,20.9,183.3,22810.4
PULSES,9.51,60,0.585,26.3,186.6,6722.73
SUGARCANE,2.6,299,0.749,21.6,108.4,137993.2
MAIZE,2.09,21,0.561,29.6,301.8,9541.83
WHEAT,2.87,27,0.807,29.4,86.1,7027.99
COTTON,9.71,115,0.726,25.9,126.1,11192.05
SUGARCANE,6.68,361,0.74,31.0,75.1,342772.31
MAIZE,9.54,19,0.828,18.2,106.3,46022.18
RICE,3.71,88,0.569,23.6,540.2,11999.41
COTTON,1.99,35,0.845,23.2,465.6,3423.24
SUGARCANE,3.02,154,0.669,22.9,462.2,232329.51
RICE,3.93,64,0.815,27.5,410.2,16595.11
WHEAT,2.12,84,0.237,17.3,638.7,2435.14
PULSES,3.02,79,0.724,22.6,189.9,2853.65
COTTON,4.92,67,0.535,18.0,572.4,5665.89
PULSES,3.77,79,0.801,19.6,95.7,2583.12
SUGARCANE,4.48,284,0.625,26.5,226.7,245833.6
COTTON,9.08,18,0.83,31.0,558.2,15162.19
RICE,9.52,67,0.847,34.4,656.3,34273.84
COTTON,1.24,121,0.815,18.0,496.3,2009.12
PULSES,9.18,18,0.761,26.0,692.5,9106.09
RICE,7.97,89,0.806,17.3,162.2,31771.38
SUGARCANE,7.7,61,0.263,17.0,264.6,194731.43
MAIZE,8.84,43,0.747,27.2,78.1,39923.57
WHEAT,6.37,112,0.828,21.6,228.2,22973.43
MAIZE,9.02,12,0.809,21.2,682.1,61664.64
PULSES,1.43,39,0.845,23.9,669.4,1383.06
COTTON,6.25,32,0.692,31.5,605.7,10580.1
MAIZE,8.3,75,0.416,29.2,352.5,40957.58
SUGARCANE,8.85,24,0.825,19.0,93.2,454741.79
RICE,9.22,100,0.724,24.3,347.7,42284.32
PULSES,0.79,57,0.739,34.2,405.9,668.2
MAIZE,2.05,43,0.565,20.7,339.9,9508.3
SUGARCANE,7.91,119,0.555,28.6,251.8,438951.53
RICE,8.71,108,0.514,17.6,179.9,25839.51
WHEAT,2.9,88,0.57,20.5,721.6,7685.02
COTTON,2.89,129,0.754,27.5,488.4,4533.58
PULSES,9.68,57,0.769,20.7,563.3,9565.7
MAIZE,9.89,91,0.705,28.1,764.1,66262.68
WHEAT,1.92,71,0.593,31.0,500.0,4994.1
PULSES,1.83,13,0.639,20.2,363.9,1302.88
RICE,6.04,83,0.482,29.3,564.7,19595.33
COTTON,9.11,101,0.819,31.8,707.4,14552.2
RICE,4.97,104,0.812,30.3,187.3,22261.0
MAIZE,6.72,38,0.799,21.1,641.1,43603.86
MAIZE,6.06,69,0.513,32.3,487.7,25823.33
RICE,4.99,34,0.823,22.6,273.8,20976.9
WHEAT,1.8,61,0.847,32.9,790.0,5193.45
PULSES,2.21,20,0.776,18.5,525.9,2079.54
MAIZE,2.49,109,0.803,24.8,622.7,15756.99
SUGARCANE,4.62,229,0.843,22.7,78.3,241532.87
MAIZE,9.53,51,0.527,15.4,53.1,29491.93
WHEAT,7.09,98,0.671,25.1,279.6,23871.9
RICE,3.33,47,0.754,25.5,375.2,14925.67
WHEAT,3.76,135,0.688,34.0,738.7,11141.24
WHEAT,2.63,43,0.654,25.1,142.4,6617.13
RICE,4.06,91,0.757,16.0,796.0,16338.01
PULSES,8.44,16,0.5,22.6,460.5,6061.24
WHEAT,2.45,12,0.782,28.2,252.5,8715.1
WHEAT,4.48,36,0.774,20.7,638.6,15766.03
SUGARCANE,2.4,144,0.634,22.2,357.3,129835.42
SUGARCANE,5.22,116,0.515,19.7,59.6,196214.01
RICE,8.43,95,0.84,30.6,106.3,26544.9
MAIZE,6.62,68,0.186,24.3,124.9,10759.82
RICE,8.6,56,0.475,29.8,121.2,19761.4
RICE,0.59,27,0.441,22.2,378.3,1911.0
PULSES,1.38,53,0.73,34.2,253.9,1148.0
COTTON,8.1,52,0.789,16.2,756.9,11618.8
COTTON,9.16,133,0.563,18.6,334.8,10836.57
RICE,8.69,117,0.614,24.7,416.1,28885.82
COTTON,0.94,76,0.403,32.4,443.6,982.16
PULSES,5.87,53,0.788,27.4,374.6,5943.01
COTTON,3.78,108,0.815,32.8,509.7,5042.55
WHEAT,5.3,130,0.609,16.5,418.7,11894.8
MAIZE,0.98,38,0.726,31.3,109.1,4502.33
SUGARCANE,4.76,265,0.674,24.9,540.0,351956.08
COTTON,0.84,150,0.668,27.1,514.3,1358.92
SUGARCANE,5.84,345,0.628,22.3,90.7,222584.82
COTTON,3.65,131,0.487,24.1,123.1,3114.72
RICE,3.74,116,0.592,26.0,330.4,11496.85
WHEAT,5.18,114,0.772,18.8,747.7,18038.31
COTTON,8.33,58,0.426,23.3,745.0,10333.33
SUGARCANE,1.67,240,0.768,25.1,772.9,122216.28
PULSES,0.96,65,0.516,25.2,740.9,668.89
SUGARCANE,2.15,75,0.782,27.1,291.4,171863.92
COTTON,9.81,73,0.843,34.4,389.6,13254.1
COTTON,6.22,141,0.79,32.2,583.9,9103.47
PULSES,2.56,36,0.47,21.9,554.3,1931.92
PULSES,9.76,32,0.789,21.4,136.6,6663.74
